Date,Field,Location,Jobs_Predicted,Average_Salary_Predicted
2025-05-21,Data Scientist,Mumbai,14.954791908154512,1314005.737365978
2025-05-22,Data Scientist,Mumbai,14.873053285878964,1314760.737476628
2025-05-23,Data Scientist,Mumbai,14.873499061934877,1314987.9892327108
2025-05-24,Data Scientist,Mumbai,14.531483665258992,1328455.05599639
2025-05-25,Data Scientist,Mumbai,14.714200882005422,1315876.7790000383
2025-05-26,Data Scientist,Mumbai,14.974924587386425,1316214.3467402107
2025-05-27,Data Scientist,Mumbai,14.605518189989896,1317511.8160271028
2025-05-28,Data Scientist,Mumbai,14.962130257884425,1313999.844746197
2025-05-29,Data Scientist,Mumbai,14.880391635608339,1314754.844856844
2025-05-30,Data Scientist,Mumbai,14.880837411664768,1314982.0966128982
2025-05-31,Data Scientist,Mumbai,14.538822014988963,1328449.1633766172
2025-06-01,Data Scientist,Mumbai,14.721539231736147,1315870.886380248
2025-06-02,Data Scientist,Mumbai,14.982262937117094,1316208.45412041
2025-06-03,Data Scientist,Mumbai,14.612856539719044,1317505.9234073672
2025-06-04,Data Scientist,Mumbai,14.969468607613356,1313993.952126439
2025-06-05,Data Scientist,Mumbai,14.887729985338206,1314748.9522370778
2025-06-06,Data Scientist,Mumbai,14.888175761394894,1314976.2039931396
2025-06-07,Data Scientist,Mumbai,14.546160364717908,1328443.2707568503
2025-06-08,Data Scientist,Mumbai,14.728877581465863,1315864.9937604745
2025-06-09,Data Scientist,Mumbai,14.989601286846176,1316202.5615006583
2025-06-10,Data Scientist,Mumbai,14.620194889449035,1317500.0307875765
2025-06-11,Data Scientist,Mumbai,14.97680695734327,1313988.059506658
2025-06-12,Data Scientist,Mumbai,14.895068335067581,1314743.0596172938
2025-06-13,Data Scientist,Mumbai,14.895514111124186,1314970.3113733742
2025-06-14,Data Scientist,Mumbai,14.553498714448905,1328437.378137072
2025-06-15,Data Scientist,Mumbai,14.736215931194454,1315859.1011407347
2025-06-16,Data Scientist,Mumbai,14.996939636577109,1316196.6688808543
2025-06-17,Data Scientist,Mumbai,14.627533239179021,1317494.1381677857
2025-06-18,Data Scientist,Mumbai,14.984145307073216,1313982.166886902
2025-06-19,Data Scientist,Mumbai,14.902406684797446,1314737.1669975275
2025-05-21,Web and App Developer,Bangalore,8.907722545692781,1337444.0849009594
2025-05-22,Web and App Developer,Bangalore,8.702089810203262,1318174.306138687
2025-05-23,Web and App Developer,Bangalore,8.989892061627549,1320566.9233810792
2025-05-24,Web and App Developer,Bangalore,8.866498414675979,1325206.9619246633
2025-05-25,Web and App Developer,Bangalore,8.751997424179036,1325000.3381689568
2025-05-26,Web and App Developer,Bangalore,8.943853140515271,1334476.6773837563
2025-05-27,Web and App Developer,Bangalore,9.190535966489293,1309368.554521107
2025-05-28,Web and App Developer,Bangalore,8.916370331671663,1337576.9808373856
2025-05-29,Web and App Developer,Bangalore,8.710737596182586,1318307.2020750633
2025-05-30,Web and App Developer,Bangalore,8.998539847606152,1320699.8193174219
2025-05-31,Web and App Developer,Bangalore,8.875146200654898,1325339.857861119
2025-06-01,Web and App Developer,Bangalore,8.760645210158252,1325133.2341054368
